trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
101,sad,high,low,1,0.8,F,5,0.8,0.0300000000002,angry,0,0.5450000000000728,sad,1.0,7
102,angry,low,high,1,0.8,F,5,0.8,0.2970000000000254,sad,0,0.5860000000000127,angry,1.0,2
103,sad,high,low,1,0.8,M,5,0.8,0.1089999999999236,angry,0,0.4630000000001928,sad,1.0,17
104,sad,high,high,1,0.8,M,5,0.8,0.4339999999999691,angry,0,0.4339999999999691,sad,1.0,21
105,angry,low,high,1,0.8,F,5,0.8,0.3489999999999327,sad,0,0.5,sad,0.0,-50
106,sad,high,low,1,0.8,M,5,0.8,0.2419999999999618,angry,0,0.5879999999999654,sad,1.0,1
107,angry,low,low,1,0.8,F,5,0.8,0.1010000000001127,sad,0,0.2419999999999618,sad,0.0,-50
108,sad,high,low,1,0.8,M,5,0.8,0.2609999999999672,angry,0,0.3979999999999108,sad,1.0,25
109,angry,low,high,1,0.8,M,5,0.8,0.6190000000001419,sad,0,0.44399999999996,angry,1.0,19
110,angry,low,low,1,0.8,F,5,0.8,0.0729999999998654,sad,0,0.4269999999999072,sad,0.0,-50
111,sad,high,low,1,0.8,M,5,0.8,0.0960000000000036,angry,0,0.4769999999998617,sad,1.0,15
112,angry,high,high,0,0.8,F,5,0.8,0.0810000000001309,angry,1,0.4230000000000018,sad,0.0,-50
113,sad,high,high,1,0.8,F,5,0.8,0.0950000000000272,angry,0,0.44399999999996,angry,0.0,-50
114,angry,low,low,1,0.8,M,5,0.8,0.2860000000000582,sad,0,0.3129999999998745,sad,0.0,-50
115,sad,low,low,0,0.8,F,5,0.8,0.0750000000000454,sad,1,0.47400000000016,sad,1.0,16
116,sad,high,high,1,0.8,M,5,0.8,0.0809999999999036,angry,0,0.1269999999999527,angry,0.0,-50
117,angry,low,low,1,0.8,F,5,0.8,0.6709999999998217,sad,0,0.3789999999999054,sad,0.0,-50
118,sad,low,high,0,0.8,M,5,0.8,0.1780000000001109,sad,1,0.4959999999998672,sad,1.0,13
119,angry,low,low,1,0.8,M,5,0.8,0.0929999999998472,sad,0,0.5519999999999072,sad,0.0,-50
120,sad,high,high,1,0.8,F,5,0.8,0.9640000000001692,angry,0,0.4130000000000109,sad,1.0,23
121,angry,low,low,1,0.8,F,5,0.8,1.0049999999998818,angry,1,0.4250000000001819,sad,0.0,-50
122,sad,low,high,0,0.8,F,5,0.8,0.2880000000000109,sad,1,0.4039999999999963,sad,1.0,24
123,angry,high,low,0,0.8,M,5,0.8,0.2270000000000891,angry,1,0.4200000000000727,angry,1.0,22
124,angry,low,high,1,0.8,M,5,0.8,0.0090000000000145,sad,0,0.359000000000151,sad,0.0,-50
125,sad,high,high,1,0.8,F,5,0.8,0.0460000000000491,angry,0,0.4670000000000982,sad,1.0,16
126,angry,low,low,1,0.8,F,5,0.8,0.1419999999998253,sad,0,0.6210000000000946,angry,1.0,-3
127,sad,high,high,1,0.8,M,5,0.8,0.0360000000000582,angry,0,0.4529999999999745,sad,1.0,18
128,sad,high,low,1,0.8,F,5,0.8,0.2880000000000109,angry,0,0.4829999999999472,sad,1.0,15
129,angry,low,low,1,0.8,M,5,0.8,0.2760000000000673,sad,0,0.6720000000000255,angry,1.0,-9
130,angry,high,high,0,0.8,M,5,0.8,0.4479999999998654,angry,1,0.6440000000000055,angry,1.0,-6
131,angry,low,low,1,0.8,F,5,0.8,0.0769999999999981,sad,0,0.5509999999999309,sad,0.0,-50
132,sad,high,high,1,0.8,F,5,0.8,0.0579999999999927,angry,0,0.5199999999999818,sad,1.0,10
133,sad,high,low,1,0.8,M,5,0.8,0.0319999999999254,angry,0,0.459999999999809,sad,1.0,17
134,angry,low,high,1,0.8,M,5,0.8,0.3250000000000455,sad,0,0.5889999999999418,angry,1.0,1
135,sad,high,low,1,0.8,M,5,0.8,0.1059999999999945,angry,0,0.4739999999999327,sad,1.0,16
136,angry,low,high,1,0.8,F,5,0.8,0.099999999999909,angry,1,0.6000000000001364,angry,1.0,0
137,sad,low,low,0,0.8,F,5,0.8,0.9130000000000108,angry,0,0.5960000000000036,angry,0.0,-50
138,angry,low,high,1,0.8,M,5,0.8,0.2820000000001528,angry,1,0.7129999999999654,angry,1.0,-14
139,sad,high,high,1,0.8,M,5,0.8,0.0749999999998181,angry,0,0.5039999999999054,sad,1.0,12
140,sad,high,high,1,0.8,F,5,0.8,0.0460000000000491,angry,0,0.4339999999999691,sad,1.0,21
141,angry,high,low,0,0.8,F,5,0.8,0.1770000000001346,angry,1,0.7570000000000618,sad,0.0,-50
142,angry,low,low,1,0.8,M,5,0.8,0.1709999999998217,sad,0,0.4969999999998435,sad,0.0,-50
143,angry,low,high,1,0.8,M,5,0.8,0.2400000000000091,sad,0,0.4489999999998417,sad,0.0,-50
144,sad,high,low,1,0.8,F,5,0.8,0.9169999999999164,angry,0,0.4560000000001309,sad,1.0,18
145,angry,high,low,0,0.8,M,5,0.8,0.1550000000002001,angry,1,0.5070000000000618,angry,1.0,11
146,angry,low,low,1,0.8,F,5,0.8,0.3729999999998199,sad,0,0.734000000000151,angry,1.0,-17
147,sad,high,high,1,0.8,M,5,0.8,0.1630000000000109,angry,0,0.4629999999999654,sad,1.0,17
148,sad,high,low,1,0.8,M,5,0.8,0.0380000000000109,angry,0,0.5579999999999927,sad,1.0,5
149,sad,low,high,0,0.8,F,5,0.8,0.0789999999999508,sad,1,0.4899999999997817,sad,1.0,14
150,sad,high,low,1,0.8,M,5,0.8,0.0679999999999836,angry,0,0.51299999999992,sad,1.0,11
151,angry,high,high,0,0.2,F,6,0.8,0.1150000000000091,angry,1,0.5229999999999109,sad,0.0,-50
152,sad,low,low,0,0.2,F,6,0.8,0.1489999999998872,sad,1,0.4669999999998708,sad,1.0,17
153,angry,high,high,0,0.2,F,6,0.8,0.0920000000000982,angry,1,0.5240000000001146,sad,0.0,-50
154,sad,low,high,0,0.2,M,6,0.8,0.0240000000001145,sad,1,0.0670000000000072,sad,1.0,67
155,angry,high,low,0,0.2,M,6,0.8,0.4000000000000909,angry,1,0.1340000000000145,angry,1.0,58
156,sad,low,high,0,0.2,M,6,0.8,0.2189999999998235,sad,1,0.0839999999998326,sad,1.0,65
157,angry,high,low,0,0.2,F,6,0.8,0.0160000000000763,angry,1,0.4549999999999272,angry,1.0,18
158,angry,high,high,0,0.2,M,6,0.8,0.0800000000001546,angry,1,0.099999999999909,angry,1.0,63
159,sad,low,high,0,0.2,F,6,0.8,0.1420000000000527,sad,1,0.1910000000000309,sad,1.0,51
160,angry,high,high,0,0.2,F,6,0.8,0.0199999999999818,angry,1,0.0450000000000727,angry,1.0,69
161,angry,low,low,1,0.2,M,6,0.8,0.0119999999999436,sad,0,0.0050000000001091,sad,0.0,-50
162,sad,low,low,0,0.2,F,6,0.8,0.0919999999998708,sad,1,0.0060000000000854,sad,1.0,74
163,angry,high,high,0,0.2,M,6,0.8,0.1159999999999854,angry,1,0.0670000000000072,angry,1.0,66
164,sad,low,high,0,0.2,F,6,0.8,0.127999999999929,sad,1,0.0140000000001236,sad,1.0,73
165,sad,high,low,1,0.2,M,6,0.8,0.058999999999969,angry,0,0.0950000000000272,angry,0.0,-50
166,sad,low,low,0,0.2,M,6,0.8,0.1349999999999909,sad,1,0.4539999999999509,sad,1.0,18
167,angry,high,high,0,0.2,F,6,0.8,0.0449999999998453,angry,1,0.2180000000000745,angry,1.0,48
168,angry,low,low,1,0.2,F,6,0.8,0.1649999999999636,sad,0,0.0489999999999781,sad,0.0,-50
169,sad,low,high,0,0.2,F,6,0.8,0.0080000000000381,sad,1,0.3999999999998636,sad,1.0,25
170,sad,low,low,0,0.2,M,6,0.8,0.0639999999998508,sad,1,0.0440000000000964,sad,1.0,69
171,angry,low,high,1,0.2,M,6,0.8,0.211999999999989,sad,0,0.0099999999999909,sad,0.0,-50
172,angry,high,high,0,0.2,F,6,0.8,0.0879999999999654,angry,1,0.155999999999949,angry,1.0,56
173,sad,high,low,1,0.2,M,6,0.8,0.0109999999999672,angry,0,0.1090000000001509,angry,0.0,-50
174,sad,low,high,0,0.2,M,6,0.8,0.1030000000000654,sad,1,0.0199999999999818,sad,1.0,72
175,angry,high,high,0,0.2,F,6,0.8,0.0470000000000254,angry,1,0.086999999999989,angry,1.0,64
176,angry,low,low,1,0.2,F,6,0.8,0.0119999999999436,sad,0,0.0529999999998835,sad,0.0,-50
177,sad,low,high,0,0.2,M,6,0.8,0.0530000000001109,sad,1,0.0429999999998926,sad,1.0,70
178,angry,high,high,0,0.2,M,6,0.8,0.0350000000000818,angry,1,0.127999999999929,angry,1.0,59
179,sad,low,high,0,0.2,M,6,0.8,0.0069999999998344,sad,1,0.0859999999997853,sad,1.0,64
180,sad,low,low,0,0.2,F,6,0.8,0.0239999999998872,sad,1,0.4300000000000636,sad,1.0,21
181,sad,high,high,1,0.2,F,6,0.8,0.1280000000001564,angry,0,0.0149999999998726,angry,0.0,-50
182,angry,high,low,0,0.2,M,6,0.8,0.0170000000000527,angry,1,0.1669999999999163,angry,1.0,54
183,sad,low,low,0,0.2,F,6,0.8,0.2340000000001509,sad,1,0.030999999999949,sad,1.0,71
184,angry,high,high,0,0.2,M,6,0.8,0.0799999999999272,angry,1,0.1070000000001982,angry,1.0,61
185,angry,high,high,0,0.2,F,6,0.8,0.086999999999989,angry,1,0.4909999999999854,angry,1.0,14
186,sad,high,low,1,0.2,M,6,0.8,0.1630000000000109,angry,0,0.4690000000000509,angry,0.0,-50
187,angry,high,high,0,0.2,M,6,0.8,0.0880000000001928,angry,1,0.0689999999999599,angry,1.0,66
188,angry,high,low,0,0.2,F,6,0.8,0.0740000000000691,angry,1,0.0299999999999727,angry,1.0,71
189,sad,low,high,0,0.2,F,6,0.8,0.1140000000000327,sad,1,0.1470000000001619,sad,1.0,56
190,angry,high,low,0,0.2,F,6,0.8,0.0950000000000272,angry,1,0.0119999999999436,angry,1.0,73
191,sad,low,low,0,0.2,M,6,0.8,0.015999999999849,sad,1,0.1140000000000327,sad,1.0,61
192,sad,low,high,0,0.2,F,6,0.8,0.1700000000000727,sad,1,0.1380000000001473,sad,1.0,58
193,angry,low,high,1,0.2,M,6,0.8,0.1320000000000618,sad,0,0.1420000000000527,sad,0.0,-50
194,angry,high,low,0,0.2,M,6,0.8,0.0929999999998472,angry,1,0.0389999999999872,angry,1.0,70
195,angry,low,high,1,0.2,F,6,0.8,0.0440000000000964,sad,0,0.1410000000000764,sad,0.0,-50
196,sad,low,low,0,0.2,M,6,0.8,0.1220000000000709,sad,1,0.1150000000000091,sad,1.0,61
197,angry,high,low,0,0.2,F,6,0.8,0.0879999999999654,angry,1,0.1600000000000818,angry,1.0,55
198,sad,low,high,0,0.2,F,6,0.8,0.1290000000001328,sad,1,0.1829999999999927,sad,1.0,52
199,angry,high,high,0,0.2,M,6,0.8,0.0380000000000109,angry,1,0.5309999999999491,angry,1.0,9
200,sad,low,high,0,0.2,F,6,0.8,0.0099999999999909,sad,1,0.1849999999999454,sad,1.0,52
