trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
127,angry,low,high,1,0.9,M,4,0.8,0.2693000000006122,angry,1,0.4140999999976884,angry,1,23
128,sad,high,low,1,0.9,F,4,0.8,0.1020999999977902,sad,1,0.0194999999998799,sad,1,71
129,angry,high,low,0,0.9,F,4,0.8,0.0131999999991876,sad,0,0.3310999999976047,sad,0,-50
130,sad,high,high,1,0.9,M,4,0.8,0.0518000000006395,angry,0,0.4371999999993932,angry,0,-50
131,angry,low,high,1,0.9,M,4,0.8,0.7018000000007305,angry,1,0.047699999999395,angry,1,69
132,sad,high,low,1,0.9,F,4,0.8,0.1331999999993058,sad,1,0.0590000000001964,sad,1,67
133,angry,high,high,0,0.9,M,4,0.8,0.0901999999991858,sad,0,0.0703000000007705,sad,0,-50
134,sad,high,low,1,0.9,F,4,0.8,0.7691000000013446,sad,1,0.6474000000023352,sad,1,-6
135,angry,low,high,1,0.9,F,4,0.8,0.3356999999994059,angry,1,0.065100000001621,angry,1,67
136,sad,high,low,1,0.9,M,4,0.8,0.5842999999968015,sad,1,0.0549000000021351,sad,1,67
137,angry,low,high,1,0.9,F,4,0.8,0.0078000000007705,angry,1,0.0472000000029311,angry,1,69
138,angry,low,high,1,0.9,M,4,0.8,0.0685999999977866,sad,0,0.0884999999998399,sad,0,-50
139,sad,high,high,1,0.9,F,4,0.8,0.0731999999993604,angry,0,0.0705000000000382,angry,0,-50
140,angry,low,low,1,0.9,M,4,0.8,1.086999999999989,angry,1,0.5361999999990985,angry,1,6
141,sad,low,low,0,0.1,M,5,0.8,0.007699999999204,angry,0,0.0193000000008396,angry,0,-50
142,sad,low,high,0,0.1,F,5,0.8,0.7193000000006577,angry,0,0.369699999999284,angry,0,-50
143,angry,high,low,0,0.1,M,5,0.8,0.008899999998448,angry,1,0.0788000000006832,angry,1,65
144,sad,low,high,0,0.1,M,5,0.8,0.1511000000014064,sad,1,0.0413000000007741,sad,1,69
