trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
127,sad,high,high,1,0.8,M,5,0.8,0.1949999999999363,sad,1,0.4927000000002408,angry,0.0,-50
128,sad,high,low,1,0.8,F,5,0.8,0.3373999999998887,sad,1,0.1595999999999549,sad,1.0,54
129,angry,low,low,1,0.8,M,5,0.8,0.1871000000001004,angry,1,0.3630000000000564,sad,0.0,-50
130,angry,high,high,0,0.8,M,5,0.8,0.5147000000001754,angry,1,0.4830000000001746,angry,1.0,15
131,angry,low,low,1,0.8,F,5,0.8,0.1369999999999436,sad,0,0.247899999999845,sad,0.0,-50
132,sad,high,high,1,0.8,F,5,0.8,0.1143999999999323,angry,0,0.3022999999998319,angry,0.0,-50
133,sad,high,low,1,0.8,M,5,0.8,0.3215000000000145,angry,0,0.3333999999999832,angry,0.0,-50
134,angry,low,high,1,0.8,M,5,0.8,0.2722000000001117,angry,1,0.4493000000004485,sad,0.0,-50
135,sad,high,low,1,0.8,M,5,0.8,0.3145000000001801,angry,0,0.6198000000001684,angry,0.0,-50
136,angry,low,high,1,0.8,F,5,0.8,0.1811000000000149,sad,0,0.4036000000000967,sad,0.0,-50
137,sad,low,low,0,0.8,F,5,0.8,0.6905000000001564,angry,0,0.2049999999999272,angry,0.0,-50
138,angry,low,high,1,0.8,M,5,0.8,0.2208000000002812,angry,1,0.5932000000000244,angry,1.0,0
139,sad,high,high,1,0.8,M,5,0.8,0.1749999999999545,sad,1,0.6206999999997151,sad,1.0,-4
140,sad,high,high,1,0.8,F,5,0.8,0.3017999999999574,sad,1,0.5421000000001186,sad,1.0,6
141,angry,high,low,0,0.8,F,5,0.8,0.1079000000001997,sad,0,0.6415000000001783,angry,1.0,-6
142,angry,low,low,1,0.8,M,5,0.8,0.2903999999998632,angry,1,0.3769999999999527,sad,0.0,-50
143,angry,low,high,1,0.8,M,5,0.8,0.4700000000000273,angry,1,0.2328000000002248,angry,1.0,46
144,sad,high,low,1,0.8,F,5,0.8,0.3307000000002063,sad,1,0.2698000000002594,angry,0.0,-50
145,angry,high,low,0,0.8,M,5,0.8,0.7141000000001441,sad,0,0.5203999999998814,sad,0.0,-50
146,angry,low,low,1,0.8,F,5,0.8,0.2862999999999829,angry,1,0.0303999999998723,angry,1.0,71
147,sad,high,high,1,0.8,M,5,0.8,0.0723000000002684,sad,1,0.1066000000000713,angry,0.0,-50
148,sad,high,low,1,0.8,M,5,0.8,0.2258999999999105,angry,0,0.4912999999999101,sad,1.0,13
149,sad,low,high,0,0.8,F,5,0.8,0.0873999999998886,sad,1,0.5531999999998334,angry,0.0,-50
150,sad,high,low,1,0.8,M,5,0.8,0.2117999999998119,sad,1,0.4084000000000287,sad,1.0,23
151,angry,high,high,0,0.2,F,6,0.8,0.103399999999965,sad,0,0.2721000000001368,sad,0.0,-50
152,sad,low,low,0,0.2,F,6,0.8,0.2542000000000826,angry,0,0.570299999999861,sad,1.0,2
153,angry,high,high,0,0.2,F,6,0.8,0.3201999999996587,sad,0,0.3675000000000636,sad,0.0,-50
154,sad,low,high,0,0.2,M,6,0.8,0.1772000000000844,angry,0,0.3032000000000607,angry,0.0,-50
155,angry,high,low,0,0.2,M,6,0.8,0.0468999999998231,sad,0,0.4217000000001007,sad,0.0,-50
156,sad,low,high,0,0.2,M,6,0.8,3.120600000000195,sad,1,0.2420999999999367,sad,1.0,44
157,angry,high,low,0,0.2,F,6,0.8,0.069700000000239,angry,1,0.2900999999999385,angry,1.0,38
158,angry,high,high,0,0.2,M,6,0.8,0.2047000000002299,angry,1,0.1286000000002332,angry,1.0,58
159,sad,low,high,0,0.2,F,6,0.8,0.1423999999997249,sad,1,0.0220000000001618,sad,1.0,71
160,angry,high,high,0,0.2,F,6,0.8,0.470600000000104,angry,1,0.2813999999998486,angry,1.0,40
161,angry,low,low,1,0.2,M,6,0.8,0.2046000000000276,sad,0,0.0091999999997369,sad,0.0,-50
162,sad,low,low,0,0.2,F,6,0.8,0.331300000000283,sad,1,0.3007000000002335,angry,0.0,-50
163,angry,high,high,0,0.2,M,6,0.8,0.4069999999999254,angry,1,0.4821999999996933,angry,1.0,15
164,sad,low,high,0,0.2,F,6,0.8,0.31899999999996,sad,1,0.3713000000002466,sad,1.0,28
